interval_start,interval_end,exponent_max_degree9,exponent_max_degree8,exponent_max_degree7,exponent_max_degree6,exponent_max_degree5,exponent_max_degree4,exponent_max_degree3,exponent_max_degree2,exponent_max_degree1,exponent_max_degree0
2500,3155.38462,0,0,0,0,0,0,-9.862610574009695e-08,0.0011853888634322657,-4.193408327839097,4989.034841431735
3155.38462,3262.29323,0,0,0,0,0,0,0,-8.725472508162593e-05,0.9525884202307393,-1682.689472222597
3262.29323,3304.32331,0,0,0,0,0,0,0,-0.004269496197172507,29.367842989276888,-49928.84491021025
3304.32331,3347.09972,0,0,0,2.393163388903154e-16,1.4327727348951362e-15,-1.5841697255522697e-09,-7.040570472570828e-06,-0.017597061533163726,-0.12856887252774823,323939.8764622143
3347.09972,3408.33048,0,0,0,0,0,0,0,-0.004269496197172507,29.367842989276888,-49928.84491021025
3408.33048,3450.0,0,0,0,3.6078353399194115e-16,2.0757390069349846e-15,-2.552231388862292e-09,-1.172288114806473e-05,-0.030282681632538996,-0.2328204784206366,595421.7602732407
3450.0,3468.92308,0,0,0,0,0,0,0,-0.004269496197172507,29.367842989276888,-49928.84491021025
3468.92308,3532.0,0,0,0,0,0,0,0,-8.725472508162593e-05,0.9525884202307393,-1682.689472222597
3532.0,3576.30769,0,0,0,0,0,0,-9.862610574009695e-08,0.0011853888634322657,-4.193408327839097,4989.034841431735
3576.30769,3672.62207,0,0,0,0,0,0,0,-0.0013390431399930539,10.464467376588889,-19657.535955545918
3672.62207,3758.49498,0,0,0,9.31452891548257e-17,-7.322663303373589e-16,-7.766997763698331e-10,-3.842953472387968e-06,-0.010688609500114991,0.2158896450110827,248015.0723113197
3758.49498,3900.0,0,0,0,0,0,0,0,-0.0013390431399930539,10.464467376588889,-19657.535955545918
3900.0,4000,0,0,0,0,0,0,-9.862610574009695e-08,0.0011853888634322657,-4.193408327839097,4989.034841431735
