interval_start,interval_end,exponent_max_degree9,exponent_max_degree8,exponent_max_degree7,exponent_max_degree6,exponent_max_degree5,exponent_max_degree4,exponent_max_degree3,exponent_max_degree2,exponent_max_degree1,exponent_max_degree0
2500,3155.38462,0,0,0,0,0,0,0,0.00032508970357882907,-1.7025407712135037,2597.246265352238
3155.38462,3317.84615,0,0,0,2.6121847027573132e-17,5.740473336888172e-16,-1.60391764288353e-10,-6.927671265141077e-07,-0.001678714507672487,-0.013664415265568063,28958.404981031552
3317.84615,3359.69231,0,0,0,0,0,0,0,0.00032508970357882907,-1.7025407712135037,2597.246265352238
3359.69231,3532.0,0,0,0,2.570471239700417e-17,4.026521307856733e-16,-1.8096891029136936e-10,-8.333131233793913e-07,-0.0021537881316579734,-0.0019477002818558183,42518.195695438
3532.0,3689.23077,0,0,0,0,0,0,0,0.00032508970357882907,-1.7025407712135037,2597.246265352238
3689.23077,3714.85099,0,0,0,0,0,0,0,-0.0022667962962947077,17.939252486372116,-34621.00374946268
3714.85099,3754.85099,0,0,0,0,0,0,0,-0.0191729649512228,146.5624907935244,-279245.7714911404
3754.85099,3796.04453,0,0,0,2.0568462068106684e-16,3.928252213139656e-15,-1.739646299098164e-09,-8.797436284684863e-06,-0.025020458304667436,-0.738648842465714,588402.322346086
3796.04453,3890.0,0,0,0,0,0,0,0,-0.0191729649512228,146.5624907935244,-279245.7714911404
3890.0,3900.0,0,0,0,0,0,0,0,-0.0022667962962947077,17.939252486372116,-34621.00374946268
3900.0,4000,0,0,0,0,0,0,0,0.00032508970357882907,-1.7025407712135037,2597.246265352238
